song,artist,emotion
Donde esta el amor - feat. Jesse & Joy,Pablo Alboran,Joy
­Corre!,Jesse & Joy,Joy
Riptide,Vance Joy,Joy
Riptide,Vance Joy,Joy
Ecos de amor,Jesse & Joy,Joy
Can't Feel My Face,The Weeknd,Joy
Llorar - feat. Mario Domm,Jesse & Joy,Joy
No soy una de esas - feat. Alejandro Sanz,Jesse & Joy,Joy
Le Vent Nous Portera,Noir D‚sir,Joy
Joy,Teddy Pendergrass,Joy
Winds Of Change,Vance Joy,Joy
Llegaste tu,Jesse & Joy,Joy
Adios,Jesse & Joy,Joy
¨Con qui‚n se queda el perro?,Jesse & Joy,Joy
Georgia,Vance Joy,Joy
Electric Love,B?RNS,Joy
Uptown Funk,Mark Ronson,Joy
Waiting For Love,Avicii,Joy
My Kind Of Man,Vance Joy,Joy
First Time,Vance Joy,Joy
All I Ever Wanted,Vance Joy,Joy
Thinking Out Loud,Ed Sheeran,Joy
Straight Into Your Arms,Vance Joy,Joy
Best That I Can,Vance Joy,Joy
Invisible,Jesse & Joy,Joy
Por siempremente,Jesse & Joy,Joy
Hello,Adele,Joy
No soy una de esas - feat. Alejandro Sanz,Jesse & Joy,Joy
Wasted Time,Vance Joy,Joy
Can't Feel My Face,The Weeknd,Joy
Riptide,Vance Joy,Joy
­Corre!,Jesse & Joy,Joy
Red Eye,Vance Joy,Joy
How Deep Is Your Love,Calvin Harris,Joy
What Do You Mean?,Justin Bieber,Joy
We All Die Trying To Get It Right,Vance Joy,Joy
See You Again (feat. Charlie Puth),Wiz Khalifa,Joy
Somos lo que fue,Jesse & Joy,Joy
From Afar,Vance Joy,Joy
Mess Is Mine,Vance Joy,Joy
Chocolate,Jesse & Joy,Joy
Who Am I,Vance Joy,Joy
Ya no quiero,Jesse & Joy,Joy
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,Joy
Photograph,Ed Sheeran,Joy
Take Me To Church,Hozier,Joy
Roses,The Chainsmokers,Joy
Una y otra vez,Jesse & Joy,Joy
Nuevo dia,Jesse & Joy,Joy
Fire and the Flood,Vance Joy,Joy
Where Are š Now (with Justin Bieber),Jack š,Joy
Que pena me da,Jesse & Joy,Joy
Que pena me da,Jesse & Joy,Joy
Halo,Haley James Scott,Joy
Heart Runs (feat. Sarah McMillan),John Mark McMillan,Joy
Please Don't Let Me Be Misunderstood,Meshell Ndegeocello,Joy
Intro,Patrice,Joy
Esto es lo que soy,Jesse & Joy,Joy
Welcome To My Life - Live From Japan,Simple Plan,Joy
Freedom,Fiona Joy Hawkins,Joy
Electricidad,Jesse & Joy,Joy
La de la mala suerte,Jesse & Joy,Joy
Revelation Song,Kari Jobe,Joy
Cherry Wine (Live),Hozier,Joy
Safe And Sound,Capital Cities,Joy
Sugar,Maroon 5,Joy
Es amor,Jesse & Joy,Joy
Sorry,Justin Bieber,Joy
Ecos de amor,Jesse & Joy,Joy
Firestone,Kygo,Joy
Mess Is Mine,Vance Joy,Joy
Llorar - feat. Mario Domm,Jesse & Joy,Joy
Nadie podra,Jesse & Joy,Joy
Quedate,Jesse & Joy,Joy
Georgia,Vance Joy,Joy
Riptide - FlicFlac Edit,Vance Joy,Joy
Un besito m s - feat. Juan Luis Guerra,Jesse & Joy,Joy
Espacio Sideral,Jesse & Joy,Joy
La de la mala suerte - feat. Pablo Albor n,Jesse & Joy,Joy
Stay With Me,Sam Smith,Joy
What Do You Mean?,Justin Bieber,Joy
Hello,Adele,Joy
The Hills,The Weeknd,Joy
Emmylou,Vance Joy,Joy
Winds Of Change,Vance Joy,Joy
Nada es mejor,Jesse & Joy,Joy
Si te vas,Jesse & Joy,Joy
Breathe Me In,Jared & The Mill,Joy
Like I'm Gonna Lose You,Meghan Trainor,Joy
When I Was Your Man,Bruno Mars,Joy
Love Yourself,Justin Bieber,Joy
Nunca dije no,Jesse & Joy,Joy
Lush Life,Zara Larsson,Joy
Stressed Out,Twenty One Pilots,Joy
Stitches,Shawn Mendes,Joy
Wasted Time,Vance Joy,Joy
Love Yourself,Justin Bieber,Joy
Summer,Calvin Harris,Joy
How Hard I Try,filous,Joy
Talking Body,Tove Lo,Joy
Revenge,Black Flag,Anger
Remedy,Seether,Anger
Single And Loving It,Endwell,Anger
Bearing The Serpents Lamb,Job For A Cowboy,Anger
Don't Look Back In Anger,Oasis,Anger
Real Mckoy,Movado,Anger
Fire It Up,Escape the Fate,Anger
In the Summertime,Mungo Jerry,Anger
Welcome To Sludge City,Annotations Of An Autopsy,Anger
Wake Up,Suicide Silence,Anger
¨A D¢nde Van?,Silvio Rodr¡guez,Anger
From Yesterday,Thirty Seconds To Mars,Anger
13 Flowers,Lorelle Meets The Obsolete,Anger
Hang Em High,Perkele,Anger
Don't Look Back In Anger,Oasis,Anger
The Curse,DOWN,Anger
Don't Look Back In Anger,Ohasis,Anger
Right Now (Korn Cover),Chelsea Grin,Anger
Vestal Disfigurement Upon the Sacred Chantry,Aborted,Anger
Don't Cross The River,America,Anger
Pain,Three Days Grace,Anger
Milquetoast,Helmet,Anger
Hey DJ!,Kontrust,Anger
I Am Machine,Three Days Grace,Anger
No Pity For A Coward,Suicide Silence,Anger
